"HIOKI PW3365(Ver2.10)",S/N.170104446
"FOLDER",23020800
"WIRING",3P4W
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",5min
"U RANGE",400V
"U SENSOR",PW9020
"I RANGE",500A
"I SENSOR",9661(500A)
"VT(PT)",1
"CT",1
"ENERGY COST",0000.00,

2023-02-15 00:00:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem
2023-02-15 00:00:00
2023-02-15 00:05:00,0000:05:00,00000000,49.99E+00,233.8E+00,233.8E+00,0.0E+00,227.2E+00,227.1E+00,-119.0E+00,240.2E+00,240.1E+00,120.9E+00,5.98E+00,5.95E+00,-41.4E+00,8.27E+00,8.22E+00,-144.1E+00,3.63E+00,3.58E+00,85.3E+00,1.04E+03,1.69E+03,0.70E+03,3.43E+03,1.40E+03,1.88E+03,0.87E+03,4.15E+03,0.93E+03,0.82E+03,0.52E+03,2.33E+03,0.744E+00,0.899E+00,0.801E+00,0.826E+00,0.286E+03,0.000E+03,0.194E+03,0.000E+03,0.00000E+00,0.286E+03,0.000E+03,0.194E+03,0.000E+03,3.43E+03,0.00E+03,2.33E+03,0.00E+03,0.827E+00
2023-02-15 00:10:00,0000:10:00,00000000,50.00E+00,233.9E+00,233.8E+00,0.0E+00,227.3E+00,227.3E+00,-119.0E+00,240.2E+00,240.2E+00,120.9E+00,5.92E+00,5.89E+00,-41.7E+00,5.47E+00,5.44E+00,-143.9E+00,3.40E+00,3.35E+00,86.2E+00,1.03E+03,1.11E+03,0.66E+03,2.80E+03,1.38E+03,1.24E+03,0.82E+03,3.44E+03,0.93E+03,0.53E+03,0.48E+03,1.99E+03,0.741E+00,0.896E+00,0.809E+00,0.813E+00,0.519E+03,0.000E+03,0.360E+03,0.000E+03,0.00000E+00,0.233E+03,0.000E+03,0.166E+03,0.000E+03,2.80E+03,0.00E+03,1.99E+03,0.00E+03,0.815E+00
2023-02-15 00:15:00,0000:15:00,00000000,49.99E+00,234.0E+00,233.9E+00,0.0E+00,227.4E+00,227.3E+00,-118.9E+00,240.1E+00,240.1E+00,120.9E+00,3.69E+00,3.67E+00,-41.6E+00,5.45E+00,5.41E+00,-144.2E+00,2.87E+00,2.82E+00,91.0E+00,0.64E+03,1.11E+03,0.59E+03,2.33E+03,0.86E+03,1.24E+03,0.69E+03,2.79E+03,0.57E+03,0.54E+03,0.36E+03,1.51E+03,0.739E+00,0.896E+00,0.849E+00,0.836E+00,0.713E+03,0.000E+03,0.486E+03,0.000E+03,0.00000E+00,0.194E+03,0.000E+03,0.126E+03,0.000E+03,2.33E+03,0.00E+03,1.51E+03,0.00E+03,0.839E+00
2023-02-15 00:20:00,0000:20:00,00000000,50.00E+00,234.2E+00,234.2E+00,0.0E+00,227.5E+00,227.4E+00,-118.9E+00,240.2E+00,240.1E+00,121.0E+00,0.10E+00,0.10E+00,4.5E+00,5.34E+00,5.30E+00,-143.9E+00,2.81E+00,2.76E+00,91.7E+00,0.02E+03,1.09E+03,0.58E+03,1.69E+03,0.02E+03,1.21E+03,0.68E+03,1.91E+03,-0.01E+03,0.52E+03,0.35E+03,0.90E+03,-0.955E+00,0.896E+00,0.854E+00,0.882E+00,0.854E+03,0.000E+03,0.561E+03,0.000E+03,0.00000E+00,0.140E+03,0.000E+03,0.075E+03,0.000E+03,1.69E+03,0.00E+03,0.90E+03,0.00E+03,0.883E+00
2023-02-15 00:25:00,0000:25:00,00000000,49.99E+00,234.2E+00,234.1E+00,0.0E+00,227.4E+00,227.4E+00,-118.9E+00,240.3E+00,240.2E+00,120.9E+00,3.37E+00,3.35E+00,-40.8E+00,8.19E+00,8.14E+00,-144.5E+00,2.82E+00,2.76E+00,91.5E+00,0.59E+03,1.67E+03,0.58E+03,2.83E+03,0.79E+03,1.86E+03,0.68E+03,3.33E+03,0.52E+03,0.83E+03,0.35E+03,1.73E+03,0.747E+00,0.895E+00,0.853E+00,0.852E+00,1.090E+03,0.000E+03,0.705E+03,0.000E+03,0.00000E+00,0.236E+03,0.000E+03,0.144E+03,0.000E+03,2.83E+03,0.00E+03,1.73E+03,0.00E+03,0.854E+00
2023-02-15 00:30:00,0000:30:00,00000000,49.99E+00,233.9E+00,233.9E+00,0.0E+00,227.5E+00,227.5E+00,-119.0E+00,240.5E+00,240.5E+00,120.9E+00,5.92E+00,5.88E+00,-41.7E+00,6.79E+00,6.74E+00,-143.9E+00,2.83E+00,2.78E+00,91.6E+00,1.03E+03,1.38E+03,0.58E+03,2.99E+03,1.38E+03,1.54E+03,0.68E+03,3.61E+03,0.93E+03,0.67E+03,0.35E+03,2.01E+03,0.741E+00,0.897E+00,0.853E+00,0.829E+00,1.339E+03,0.000E+03,0.873E+03,0.000E+03,0.00000E+00,0.249E+03,0.000E+03,0.168E+03,0.000E+03,2.99E+03,0.00E+03,2.01E+03,0.00E+03,0.830E+00
2023-02-15 00:35:00,0000:35:00,00000000,50.00E+00,234.3E+00,234.2E+00,0.0E+00,227.5E+00,227.5E+00,-119.0E+00,240.6E+00,240.6E+00,120.9E+00,0.92E+00,0.91E+00,-36.8E+00,8.95E+00,8.94E+00,-118.6E+00,2.85E+00,2.80E+00,91.8E+00,0.17E+03,2.00E+03,0.59E+03,2.75E+03,0.22E+03,2.04E+03,0.69E+03,2.94E+03,0.12E+03,-0.02E+03,0.35E+03,0.95E+03,0.771E+00,-0.981E+00,0.855E+00,0.936E+00,1.568E+03,0.000E+03,0.952E+03,0.000E+03,0.00000E+00,0.229E+03,0.000E+03,0.080E+03,0.000E+03,2.75E+03,0.00E+03,0.95E+03,0.00E+03,0.945E+00
2023-02-15 00:40:00,0000:40:00,00000000,50.00E+00,234.6E+00,234.6E+00,0.0E+00,227.7E+00,227.6E+00,-119.0E+00,240.7E+00,240.7E+00,120.9E+00,0.09E+00,0.09E+00,4.2E+00,10.76E+00,10.75E+00,-114.4E+00,2.90E+00,2.85E+00,90.7E+00,0.02E+03,2.44E+03,0.59E+03,3.05E+03,0.02E+03,2.45E+03,0.70E+03,3.17E+03,-0.01E+03,-0.21E+03,0.37E+03,0.85E+03,-0.956E+00,-0.996E+00,0.847E+00,0.963E+00,1.823E+03,0.000E+03,1.023E+03,0.000E+03,0.00000E+00,0.254E+03,0.000E+03,0.071E+03,0.000E+03,3.05E+03,0.00E+03,0.85E+03,0.00E+03,0.963E+00
2023-02-15 00:45:00,0000:45:00,00000000,50.00E+00,234.4E+00,234.3E+00,0.0E+00,228.0E+00,227.9E+00,-119.0E+00,240.8E+00,240.8E+00,120.9E+00,3.78E+00,3.76E+00,-40.9E+00,6.49E+00,6.48E+00,-115.5E+00,3.40E+00,3.35E+00,85.8E+00,0.66E+03,1.46E+03,0.66E+03,2.78E+03,0.89E+03,1.48E+03,0.82E+03,3.18E+03,0.58E+03,-0.10E+03,0.48E+03,1.46E+03,0.747E+00,-0.991E+00,0.805E+00,0.875E+00,2.055E+03,0.000E+03,1.145E+03,0.000E+03,0.00000E+00,0.232E+03,0.000E+03,0.122E+03,0.000E+03,2.79E+03,0.00E+03,1.46E+03,0.00E+03,0.886E+00
