Date, data
1658241600000,0
1658241900000,null
1658242200000,null
1658242500000,null
1658242800000,null
1658243100000,null
1658243400000,null
1658243700000,null
1658244000000,null
1658244300000,null
1658244600000,null
1658244900000,null
1658245200000,null
1658245500000,null
1658245800000,null
1658246100000,null
1658246400000,null
1658246700000,null
1658247000000,null
1658247300000,null
1658247600000,null
1658247900000,null
1658248200000,null
1658248500000,null
1658248800000,null
1658249100000,null
1658249400000,null
1658249700000,null
1658250000000,null
1658250300000,null
1658250600000,null
1658250900000,null
1658251200000,null
1658251500000,null
1658251800000,null
1658252100000,null
1658252400000,null
1658252700000,null
1658253000000,null
1658253300000,null
1658253600000,null
1658253900000,null
1658254200000,null
1658254500000,null
1658254800000,null
1658255100000,null
1658255400000,null
1658255700000,null
1658256000000,null
1658256300000,null
1658256600000,0
1658256900000,0
1658257200000,0
1658257500000,0
1658257800000,0
1658258100000,0
1658258400000,0
1658258700000,0
1658259000000,0
1658259300000,0
1658259600000,0
1658259900000,0
1658260200000,0.24
1658260500000,7.8
1658260800000,49.48
1658261100000,70.08
1658261400000,87.29
1658261700000,115.32
1658262000000,164.23
1658262300000,244.68
1658262600000,355.18
1658262900000,437.52
1658263200000,363.97
1658263500000,491.28
1658263800000,424.9
1658264100000,383.76
1658264400000,297.27
1658264700000,368.11
1658265000000,398.28
1658265300000,438.26
1658265600000,560.88
1658265900000,894.34
1658266200000,1194.72
1658266500000,1146.1
1658266800000,1944
1658267100000,2865.91
1658267400000,2414.64
1658267700000,1543.79
1658268000000,1320.96
1658268300000,1995.17
1658268600000,2902.2
1658268900000,1764.96
1658269200000,2309.4
1658269500000,2387.8
1658269800000,2304.24
1658270100000,2207.8
1658270400000,1572.24
1658270700000,1159.1
1658271000000,1167.26
1658271300000,1070.52
1658271600000,1432.54
1658271900000,1496.52
1658272200000,1080.96
1658272500000,1289.28
1658272800000,1281.43
1658273100000,1545.6
1658273400000,896.27
1658273700000,843.96
1658274000000,750.1
1658274300000,424.2
1658274600000,254.05
1658274900000,315.72
1658275200000,531.21
1658275500000,573.6
1658275800000,668.59
1658276100000,1021.44
1658276400000,2288.59
1658276700000,7052.04
1658277000000,7993.81
1658277300000,5730.6
1658277600000,3459.13
1658277900000,3759.84
1658278200000,3143.92
1658278500000,2413.8
1658278800000,2001.43
1658279100000,2209.32
1658279400000,4096.54
1658279700000,7071.96
1658280000000,4771.26
1658280300000,9037.91
1658280600000,8184.72
1658280900000,7074.54
1658281200000,6751.92
1658281500000,6650.85
1658281800000,6623.88
1658282100000,6553.2
1658282400000,6508.92
1658282700000,6388.62
1658283000000,6233.4
1658283300000,6329.86
1658283600000,6855.26
1658283900000,5877.48
1658284200000,6002.49
1658284500000,4289.16
1658284800000,2267.76
1658285100000,2707.32
1658285400000,1969.53
1658285700000,3200.28
1658286000000,5931.81
1658286300000,2589.72
1658286600000,1580.99
1658286900000,1450.68
1658287200000,1676.23
1658287500000,2211.84
1658287800000,1490.21
1658288100000,1577.4
1658288400000,1951.34
1658288700000,1097.88
1658289000000,738.18
1658289300000,524.04
1658289600000,385.65
1658289900000,360.72
1658290200000,362.65
1658290500000,358.8
1658290800000,385.16
1658291100000,396
1658291400000,343.44
1658291700000,250.8
1658292000000,163.56
1658292300000,107.64
1658292600000,81.96
1658292900000,69.71
1658293200000,57.96
1658293500000,40.82
1658293800000,30.6
1658294100000,17.82
1658294400000,0.24
1658294700000,0
1658295000000,0
1658295300000,0
1658295600000,0
1658295900000,0
1658296200000,0
1658296500000,0
1658296800000,0
1658297100000,0
1658297400000,0
1658297700000,null
1658298000000,null
1658298300000,null
1658298600000,null
1658298900000,null
1658299200000,null
1658299500000,null
1658299800000,null
1658300100000,null
1658300400000,null
1658300700000,null
1658301000000,null
1658301300000,null
1658301600000,null
1658301900000,null
1658302200000,null
1658302500000,null
1658302800000,null
1658303100000,null
1658303400000,null
1658303700000,null
1658304000000,null
1658304300000,null
1658304600000,null
1658304900000,null
1658305200000,null
1658305500000,null
1658305800000,null
1658306100000,null
1658306400000,null
1658306700000,null
1658307000000,null
1658307300000,null
1658307600000,null
1658307900000,null
1658308200000,null
1658308500000,null
1658308800000,null
1658309100000,null
1658309400000,null
1658309700000,null
1658310000000,null
1658310300000,null
1658310600000,null
1658310900000,null
1658311200000,null
1658311500000,null
1658311800000,null
1658312100000,null
1658312400000,null
1658312700000,0
